Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Waxing - Full leg,,Full leg,Waxing ,Hair Removal,,40+,Boniva Nail Spa,"Tues-Sat 10am - 7pm, Sun 10am-6pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,45+,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,55+,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Waxing - Full leg (20% off first time),Need to show coupon from their website: http://cityfamousnailspa.com/coupon-2/,Full leg,Waxing,Hair Removal,36,45+,City Famous Nail Spa,Mon-Sat 10am-7pm,TRUE
Women's Wax - Full Leg,,Full leg,Waxing,Hair Removal,,85,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,45,Diane Nails Care,"Mon-Fri 10:30am-8pm, Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Men'x Wax - Front only,,Front only,Men's Waxing,Hair Removal,,70,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Gel On Hands,,Gel Polish,Add-on,Nails,,20,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Gel On Feet,,Gel Polish,Add-on,Nails,,22,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Shellac Polish,,Gel Polish,Add-on,Nails,,15,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Gel Application Hands,,Gel Polish,Add-on,Nails,,15,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
Gel Application Feet,,Gel Polish,Add-on,Nails,,20,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
Gel Add-On,,Gel Add-on,Add-on,Nails,,17,The  Nail Room,"Mon-Fri 10:30am-7pm, Sat-Sun 10am-7pm",FALSE
Gel Polish - Feet,,Gel Add-on,Add-on,Nails,,18,Vanity Beauty Lounge,Mon-Fri 11am-7pm,FALSE
Gel Polish - Hands,,Gel Add-on,Add-on,Nails,,16,Vanity Beauty Lounge,Mon-Fri 11am-7pm,FALSE
Gel Overlay,,Gel Polish,Add-on,Nails,,35+,Nail Today,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Gel Color Only,,Gel Polish,Add-on,Nails,,5,Sunset Nails,"Mon-Fri 10am-7pm, Sun 10am-6pm",FALSE
French,,French,Add-on,Nails,,5,Boniva Nail Spa,"Tues-Sat 10am - 7pm, Sun 10am-6pm",FALSE
French Gel,,French,Add-on,Nails,,7,Boniva Nail Spa,"Tues-Sat 10am - 7pm, Sun 10am-6pm",FALSE
French,,French,Add-on,Nails,,7,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
French Extra,,French,Add-on,Nails,,8,City Famous Nail Spa,Mon-Sat 10am-7pm,FALSE
French Hands,,French,Add-on,Nails,,5,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
French Feet,,French,Add-on,Nails,,10,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
French,,French,Add-on,Nails,,5,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
French Set,,French,Add-on,Nails,,5,Green Spa & Nail,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
French Hands,,French,Add-on,Nails,,10,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
French Feet,,French,Add-on,Nails,,10,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
Gel Manicure,Polish for lasting wear up to 3 weeks.,Gel Manicure,Manicure,Nails,,35,SF Nail Bar,"Tues-Fri 11am-7:30pm, Sat-Sun 10am-7pm",FALSE
Shellac Gel Manicure,,Gel Manicure,Manicure,Nails,,35,Silk Day Spa,"Mon-Fri 9:30am-7:30pm, Sat 9am-7pm, Sun 10am-6pm",FALSE
Gel Mani,Hot stone massage with shea butter lotion,Gel Manicure,Manicure,Nails,,35,Soubella Nails Spa,Tues-Sun 10am-7:30pm,FALSE
French Tip,,French,Add-on,Nails,,5,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
French Manicure Tips,,French,Add-on,Nails,,5,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
French Pedicure Tips,,French,Add-on,Nails,,5,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
French,,French,Add-on,Nails,,5,KT Nails,Wed-Mon 10am-7:30pm,FALSE
French,,French,Add-on,Nails,,5,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
French tips,,French,Add-on,Nails,,8,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Gel Manicure,,Gel Manicure,Manicure,Nails,,40,Sweeties Salon,"Wed-Sat 10:30am-7:30pm, Sun 10:30am-7pm, Mon 10:30am-7:30pm",FALSE
French Tip,,French,Add-on,Nails,,10,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
French Polished,,French,Add-on,Nails,,5,Mimosa Nails,Mon-Sun 10am-7pm,FALSE
French Hands,,French,Add-on,Nails,,7,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Gel Mani,,Gel Manicure,Manicure,Nails,,34,The  Nail Room,"Mon-Fri 10:30am-7pm, Sat-Sun 10am-7pm",FALSE
French Feet,,French,Add-on,Nails,,7,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
French Tip,,French,Add-on,Nails,,5,Nailtastic Salon,Mon-Sat 10am-7pm,FALSE
French Tip,,French,Add-on,Nails,,5,Nali Nails & Spa,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
French Hands,,French,Add-on,Nails,,3,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
French Feet,,French,Add-on,Nails,,3,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
French,,French,Add-on,Nails,,4,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
French polished,,French,Add-on,Nails,,10,Q Spa,"Mon-Fri 11am-7:30pm, Sat 10am-7pm, Sun 10am-6pm",FALSE
French Manicure,,French,Add-on,Nails,,8,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
French Color,,French,Add-on,Nails,,5,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,40,Doan's Nail,Mon-Sat 10am-7pm,FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,48,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,40,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,40,Four Seasons Nail & Spa,"Mon-Sat 9:30am-7:30pm, Sun 9:30AM-6:30pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,15+,Gelous Nails,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Sugaring - Forearm,,Forearm,Sugaring,Hair Removal,,30,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,40,Green Spa & Nail,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Foot Massage with Tibetan Herbal Medicine (10 min Herbal Foot Bath + 20 min Foot + 40 min Upper Body),,Foot Massage,Massage,Spa,,49,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
