Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Sugaring - Upper leg,,Half leg,Sugaring,Hair Removal,,35,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Airbrush Tanning -Upper Body,,Upper body,Tanning,Spa,,35,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Women's Wax - Abdomen,,Stomach,Waxing,Hair Removal,,10+,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Abdomen,,Stomach,Waxing,Hair Removal,,10+,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing ,Hair Removal,,35+,Boniva Nail Spa,"Tues-Sat 10am - 7pm, Sun 10am-6pm",FALSE
Waxing - Back (Shoulder to lower waist),,Full back,Waxing,Hair Removal,,45+,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Men's Wax - Underarm,,Underarm,Men's Waxing,Hair Removal,,20,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Back (Shoulder to lower waist plus arms),,Full back,Waxing,Hair Removal,,65,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35+,City Famous Nail Spa,Mon-Sat 10am-7pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,Diane Nails Care,"Mon-Fri 10:30am-8pm, Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30,Doan's Nail,Mon-Sat 10am-7pm,FALSE
Waxing -Back,,Full back,Waxing,Hair Removal,,40+,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30,Four Seasons Nail & Spa,"Mon-Sat 9:30am-7:30pm, Sun 9:30AM-6:30pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40+,Green Spa & Nail,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,Haight Street Nails,"Mon-Tues 10:30am-7pm. Wed-Sat 10:30am-7:30pm, Sun 10:30am-6:30pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,60,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
Sugaring - Underarms,,Underarm,Sugaring,Hair Removal,,22,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,KT Nails,Wed-Mon 10am-7:30pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,60,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35+,Mani-Pedi Beauty Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30,Nail Today,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30+,Oliviana Nail Spa,Mon-Sun 9am-9pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40+,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,40,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
Waxing - Half Back,,Full back,Waxing,Hair Removal,,30,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Waxing - Full Back,,Full back,Waxing,Hair Removal,,60,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Waxing -Back,,Full back,Waxing,Hair Removal,,40,Polished Nest,"Tues-Fri 11am-7pm, Sat-Sun 10am-6pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,30+,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Waxing - Back & Shoulder,,Full back,Waxing,Hair Removal,,40,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,49,SF Nail Bar,"Tues-Fri 11am-7:30pm, Sat-Sun 10am-7pm",FALSE
Waxing - Back ,,Full back,Waxing,Hair Removal,,40,Simply Unique Nails,"Mon-Fri 10am-8pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,50+,Soubella Nails Spa,Tues-Sun 10am-7:30pm,FALSE
Waxing - Full back,,Full back,Waxing,Hair Removal,,50+,Sweeties Salon,"Wed-Sat 10:30am-7:30pm, Sun 10:30am-7pm, Mon 10:30am-7:30pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,38+,Tootsie Toes,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35,Sutter Nails,"Mon-Sat 9:30am-7:30pm, Sun 9:30am-7pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,50+,Vanity Beauty Lounge,Mon-Fri 11am-7pm,FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,25+,Sunset Nails,"Mon-Fri 10am-7pm, Sun 10am-6pm",FALSE
Waxing - Back,,Full back,Waxing,Hair Removal,,35+,Sugarcoat,"Mon-Fri 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Take it all off,,Bikini,Waxing,Hair Removal,,40,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Bikini,,Bikini,Waxing ,Hair Removal,,20+,Boniva Nail Spa,"Tues-Sat 10am - 7pm, Sun 10am-6pm",FALSE
Sugaring - Toes,,Toe,Sugaring,Hair Removal,,15,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Eyebrow Tint,,Tinting,Eyebrow,Hair,,15,Richmond Nail Salon,Mon-Sun 10am-7pm,FALSE
Eyelash Tint,,Tinting,Eyelash,Hair,,20,Richmond Nail Salon,Mon-Sun 10am-7pm,FALSE
Eyebrows tint,,Tinting,Eyebrow,Hair,,15,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Eyelash tint,,Tinting,Eyelash,Hair,,25+,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Men's Wax - Take it all,,Take it all,Men's Waxing,Hair Removal,,95,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25+,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25+,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Chair Massage (20 min),,Chair Massage ,Massage,Spa,,45,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Chair Massage (30 min),,Chair Massage ,Massage,Spa,,55,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Chair Massage (40 min),,Chair Massage ,Massage,Spa,,65,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Couples Massage (60 min),Share the sweet experience and embrace relaxation side by side in our candlelit couples massage room. Our massage therapist’s will help you and your partner ease your minds and leave any stresses or worries behind as you are able to enter into complete togetherness.,Couples Massage,Massage,Spa,,230,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25,City Famous Nail Spa,Mon-Sat 10am-7pm,FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20+,Diane Nails Care,"Mon-Fri 10:30am-8pm, Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20,Doan's Nail,Mon-Sat 10am-7pm,FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25+,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,15+,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,17+,Four Seasons Nail & Spa,"Mon-Sat 9:30am-7:30pm, Sun 9:30AM-6:30pm",FALSE
Acrylic Fill-In,,Acrylic Fill,Acrylic,Nails,,25+,Doan's Nail,Mon-Sat 10am-7pm,FALSE
Men's Waxing - Tummy,,Stomach,Men's Waxing,Hair Removal,,25,Q Spa,"Mon-Fri 11am-7:30pm, Sat 10am-7pm, Sun 10am-6pm",FALSE
Waxing - Bikini Line,,Bikini,Waxing,Hair Removal,,30+,Gelous Nails,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,20+,Green Spa & Nail,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Bikini,,Bikini,Waxing,Hair Removal,,25,Haight Street Nails,"Mon-Tues 10:30am-7pm. Wed-Sat 10:30am-7:30pm, Sun 10:30am-6:30pm",FALSE
Couples Massage (90 min),Share the sweet experience and embrace relaxation side by side in our candlelit couples massage room. Our massage therapist’s will help you and your partner ease your minds and leave any stresses or worries behind as you are able to enter into complete togetherness.,Couples Massage,Massage,Spa,,330,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Deep Tissue Massage (30 min),,Deep Tissue Massage,Massage,Spa,,30,Cascade Nail & Spa,Mon-Sun 10am-10pm,FALSE
Deluxe Fresh Lemon Pedicure,,Specialty Pedicure,Pedicure,Nails,,39,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Chocolate Pedicure,"Our indulgent chocolate pedicure is rich in anti-oxidants and will leave even the roughest feet feeling soft and smooth. Followed by a personalized foot care service including nail shaping, cuticcle care, moisturizing lotion massage, hot towel service and polish.",Specialty Pedicure,Pedicure,Nails,,35,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Milk and Honey Pedicure,"Our smoothing milk and honey foot bath, softens, heals and hydrates. It includes your own personalized hand care treatment, nail shaping, cuticle care, moisturizing massage, hot towel service, warm lotion and polish.",Specialty Pedicure,Pedicure,Nails,,35,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Castro Pedicure,"Our luxurious castro pedicure is the finest treatment to pamper and beautify your feet. Start with a soak in Marine sea salts, followed by toenail shaping, cuticle grooming, our softening peach paraffin treatment, passionn fruit exfoliation and aromatheraphy oil, massage and polish.",Specialty Pedicure,Pedicure,Nails,,45,Castro Nail Salon,Mon-Sun 10am-7pm,FALSE
Deluxe Pedi,,Specialty Pedicure,Pedicure,Nails,,45,City Famous Nail Spa,Mon-Sat 10am-7pm,FALSE
Callus Pedi,"Our deluxe treatment starts with a soothing lavender soak, nails are shaped and followed by a quick hangnail trim (no cuticle pushback or detailing). Your feet are treated with an exfoliating callus treatment, followed by a cream massage, finish this treatment with any polish of your choice.",Specialty Pedicure,Pedicure,Nails,,52,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Ultimate Pedi,"Shaping and cuticle care, Choose your own blend of essential oils for a relaxing foot and leg massage, followed with heated booties.",Specialty Pedicure,Pedicure,Nails,,48,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Cocooning Signature Pedi,"A facial for your soles. We soak, buff, scrub, steam, apply a hydrating foot mask, followed by paraffin dip and some serious massage.",Specialty Pedicure,Pedicure,Nails,,68,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Special Pedicure,,Specialty Pedicure,Pedicure,Nails,,35,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
"Signature Spa Pedicure (10 min massage, mask & Paraffin wax)",,Specialty Pedicure,Pedicure,Nails,,50,Four Seasons Nail & Spa,"Mon-Sat 9:30am-7:30pm, Sun 9:30AM-6:30pm",FALSE
Deluxe Pedicure,,Specialty Pedicure,Pedicure,Nails,,32,Gelous Nails,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Gun Oil Pedi,,Specialty Pedicure,Pedicure,Nails,,45,Gentle Nails Salon,Mon-Sat 10am-7:30pm,FALSE
Deluxe Pedi,,Specialty Pedicure,Pedicure,Nails,,65,Gentle Nails Salon,Mon-Sat 10am-7:30pm,FALSE
"Deluxe Pedicure (Scrub, Massage, Mask & Paraffin)",,Specialty Pedicure,Pedicure,Nails,,50,Green Spa & Nail,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Milk & Honey Pedicure,"Soothes & moisturizes tired feet. It rejuvenates with antioxidant propertiess, leaving skin soft and supple. Heals dry-cracked feet.",Specialty Pedicure,Pedicure,Nails,,30,Haight Street Nails,"Mon-Tues 10:30am-7pm. Wed-Sat 10:30am-7:30pm, Sun 10:30am-6:30pm",FALSE
Gun Oil Hand job Pedi,"Our classic Pedi with an addition of a sugar scrub to exfoliate dead tissue and give your skin a healthy glow. Service includes a longer feet massage and parafin for your feet, you'll be ready to knock 'em dead. ",Specialty Pedicure,Pedicure,Nails,,50,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
Deluxe Pedi Fetish Fix,"Our most popular pedicure focuses on keeping your feet looking young and healthy. The service includes a peel (callous treatment), organic sugar scrub, mask, and warm parafin dip for super soft feet. ",Specialty Pedicure,Pedicure,Nails,,70,Hand Job Spa,"Mon-Sat 10am-8pm, Sun 11am-7pm",FALSE
Luxury Gel Pedicure,"Classic pedicure, foot steep in pedi bomb (a fragrant fuzz) with citrus + minty mask + exfoliating scrub + callus treatment + 10 min warm lotion foot massage + paraffin wax",Specialty Pedicure,Pedicure,Nails,,55,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Citrus Orange Splash Gel Pedicure,Luxury pedicure + foot steep in pedi bomb (a fragrant fizz) with citrus + minty mask + exfoliating,Specialty Pedicure,Pedicure,Nails,,60,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Luxury Pedicure,"Classic pedicure, foot steep in pedi bomb (a fragrant fuzz) with citrus + minty mask + exfoliating scrub + callus treatment + 10 min warm lotion foot massage + paraffin wax",Specialty Pedicure,Pedicure,Nails,,35,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Citrus Orange Splash Pedicure,Luxury pedicure + foot steep in pedi bomb (a fragrant fizz) with citrus + minty mask + exfoliating,Specialty Pedicure,Pedicure,Nails,,50,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
JoJe Deluxe Pedi,"Start with a special warm foot bath, Shaping & cuticle care, Organic brown sugar scrub, Callus treatment, Foot & leg message (10) with warm organic coconut butter, Paraffin treatment",Specialty Pedicure,Pedicure,Nails,,35,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
JoJe Platinum Pedi,"JoJe platinum rosie milk bath, Shaping & cuticle care, Organic brown sugar foot scrub, Callus treatment, Hydrating foot mask, JoJe signature foot massage with organic coconut butter (12), Paraffin treatment",Specialty Pedicure,Pedicure,Nails,,50,JoJe Nail Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Deluxe Spa Gel Pedicure,,Specialty Pedicure,Pedicure,Nails,,55,KT Nails,Wed-Mon 10am-7:30pm,FALSE
Deluxe Spa Pedicure,,Specialty Pedicure,Pedicure,Nails,,45,KT Nails,Wed-Mon 10am-7:30pm,FALSE
Sit & Lit Pedicure (CBD),"Enjoy the ultimate relaxation experience. Treat yourself to this therapeutic & calming pedicure to decompress. Service includes a top quality CBD bath bomb soak, fragrant CBD scrub, CBD moisturizing lotion & top it off with an amazing pedi",Specialty Pedicure,Pedicure,Nails,,85,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Sole-mate Pedi,"Rich w/ organic jojoba oil and loads of vitamin E. This pedi cleanses, exfoliates, moisturizes & is meant to be yours. Includes scrub, massage & perfect toes",Specialty Pedicure,Pedicure,Nails,,50,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Smooth As Butter Pedi,"Made especially for dry & sensitive skin, a luscious creamy & honey fragrance leaves the skin silky smooth. Treatment includes scrub, callus eliminator, massage, & amazing nails",Specialty Pedicure,Pedicure,Nails,,55,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Gotta Have It All Pedi,"Come in dry & callused. Leave refreshed & feeling like a billion bucks. Our top pedi is rich with 100% certified organic jojoba oil & loads of vitamin E. This treatment includes scrub, callus eliminator, massage, paraffin wax & a perfect pedi.",Specialty Pedicure,Pedicure,Nails,,65,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Lotus Signature Pedicure,"Lotus Pedicure will guarantee to make you feel like you are walking on clouds. We start with polish removal, cut and file nails, soak your feet with milk orange and perform cuticle care before exfoliating with a long special lotus lotion massage, hot stones, paraffin dip, finish with color of your choice.",Specialty Pedicure,Pedicure,Nails,,60,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Lotus Callus Treatment Pedicure,"With the Lotus callu streatment, we start with polish removal, cut and file nails, soak your feet with milk orange, and perform cuticle care before exfoliating with callus treatment, with a long special lotus lotion massage, hot stones, parrafin dip, finish with color of your choice",Specialty Pedicure,Pedicure,Nails,,65,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
DeLUX Pedicure,"This not-so-basic pedicure includes nail shaping, cuticle care, an aromatherapy scrub, callus buffing a relaxing and moisturizing massage with warmed lotion and polish + an extended massage and a hot, soothing and hydrating PerfectSense anti-aging paraffin wrap.",Specialty Pedicure,Pedicure,Nails,,60,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
Custom Pedicure,"This not-so-basic pedicure includes nail shaping, cuticle care, an aromatherapy scrub, callus buffing a relaxing and moisturizing massage with warmed lotion and polish + an extended massage and a hot, soothing and hydrating PerfectSense anti-aging paraffin wrap + the addition of intensive callus removal and a hot stone massage",Specialty Pedicure,Pedicure,Nails,,75,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
Keratin Rejuvenation Pedicure,A deep penetrating keratin emulsion wrap formulated to support  the nails to grow healthier and stronger while leaving the skin unbelievably silky smooth. ,Specialty Pedicure,Pedicure,Nails,,50,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
Elemis Sole Delight Foot Ritual,"Our LUX pedicure enveloped with Elemis’ frangipani salt scrub, frangipani oil and a milk bath. Enjoy a warm Soyaffin paraffin foot wrap, foot and lower leg massage and a de-stress hand/arm massage, finished frangipani lotion then a nude nail, polish or nail buffing. All performed while seated",Specialty Pedicure,Pedicure,Nails,,75,LUX SF,"Sun-Fri 10am-9pm, Sat 10am-7pm",FALSE
Deluxe Pedicure ,Includes hot stone 10 min massage + paraffin dip,Specialty Pedicure,Pedicure,Nails,,40,Mani-Pedi Beauty Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Signature Pedicure,"A super hydrating pedicure to promote healthy, beautiful feet. Treatment includes a buff with diamonds, an exfoliant to smooth the skin, and a hydrating massage. The service is finished with a natural buff or polish. ",Specialty Pedicure,Pedicure,Nails,,43,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Hot Stone Pedicure,"Experience the penetrating warmth and healing energy, beginning with a diamond buff and a gentle exfoliation. A hot stone massage using aromatherapy oils stimulates the circulatory system to relieve tension and soothe sore muscles. Cuticles are perfected, nails clipped, reshaped and buffed or polished to perfection. ",Specialty Pedicure,Pedicure,Nails,,65,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Reflexology Pedicure,"Recommended for feet that needs healing. This intense treatment starts with a diamond buff, then detoxified and revitalized with a mud regime. Followed with a legs and feet massage to promote relaxation and improve circulation. Finished with a perfect polish or natural buff and a paraffin dip to rejuvenate your tired soles. ",Specialty Pedicure,Pedicure,Nails,,105,Mizu Spa,"Tues-Thurs 11am-7pm, Fri-Sat 10am-7pm, Sun 10am-6pm",FALSE
Deluxe Pedicure,,Specialty Pedicure,Pedicure,Nails,,35,Nailtastic Salon,Mon-Sat 10am-7pm,FALSE
Pedicure Gel - Nail Art,,Specialty Pedicure,Pedicure,Nails,,65,Nels Beauty Salon,Mon-Sun 10:30am-7:30pm,FALSE
Special Pamper Deluxe pedicure,with hot stone massage,Specialty Pedicure,Pedicure,Nails,,45,Oliviana Nail Spa,Mon-Sun 9am-9pm,FALSE
Special Pamper Deluxe Gel Pedicure,,Specialty Pedicure,Pedicure,Nails,,55,Oliviana Nail Spa,Mon-Sun 9am-9pm,FALSE
Luxury Pedicure,A nourishing bath of lavender buds and lavender essential oils is prepared in warm water soak to moisture excessively dry and irritated skin. A sage cucumber salt scrub buffs away dead skin to reveal a smoother skin complete with muscle relief hot lotion massage.,Specialty Pedicure,Pedicure,Nails,,30,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
The Pampered Pedicure,A luxury milk bath with orange peel to encourage shedding of the skin's upper layers. A cucumber salt scrub buffs away dead skin layers and massage you with lightly scented lotino. Then your feet are wrapped in warm paraffin to improve the smooth and silky skin. Includes a 10 minute massage with hot creamy lotion.,Specialty Pedicure,Pedicure,Nails,,45,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
Mandarin Honey Pedi,,Specialty Pedicure,Pedicure,Nails,,28,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
Rosemary Mint Pedi,,Specialty Pedicure,Pedicure,Nails,,28,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
French Lavender Pedi,,French Pedicure,Pedicure,Nails,,33,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
Spa Pedi,,Specialty Pedicure,Pedicure,Nails,,65,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Milky Rose Pedi,,Specialty Pedicure,Pedicure,Nails,,70,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Sports Refresh Pedicure,"Early Bird Discount - Need to make appointment and mention ""Early bird"" for it to apply",Specialty Pedicure,Pedicure,Nails,43,48,Polished Nest,"Tues-Fri 11am-4pm, Sat-Sun 10am-1pm",TRUE
Signature XO Pedi,,Specialty Pedicure,Pedicure,Nails,,42,Polished Nest,"Tues-Fri 11am-7pm, Sat-Sun 10am-6pm",FALSE
Refresh Sports Pedicure,,Specialty Pedicure,Pedicure,Nails,,48,Polished Nest,"Tues-Fri 4pm-7pm, Sat-Sun 1pm-6pm",FALSE
Lavender Paradise Pedicure,,Specialty Pedicure,Pedicure,Nails,,58,Polished Nest,"Tues-Fri 11am-7pm, Sat-Sun 10am-6pm",FALSE
Ultimate Pedicure,The Essential Pedicure followed by a herbal scented milk and honey scrub to remove the dead cells and promote nail growth finishin goff with a warm lotion massage,Specialty Pedicure,Pedicure,Nails,,35,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Luxurious Pedicure,"The Luxurious Pedicure is the ultimate experence for your feet. It includes a herbal scented and flower petal warm foot soak followed by a detailed nail grooming and relaxing paraffin dip finishing with a 10 min foot massage,",Specialty Pedicure,Pedicure,Nails,,55,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Soy Milk Rose Pedals Pedicure,,Specialty Pedicure,Pedicure,Nails,,30,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Sensi Mint Pedicure,,Specialty Pedicure,Pedicure,Nails,,40,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Citrus-Si Pedicure,,Specialty Pedicure,Pedicure,Nails,,40,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Sensi Deluxe Pedicure,,Specialty Pedicure,Pedicure,Nails,,45,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Signature Pedicure,"Just spoil yourself - callus removal, hot salt scrub, extra massage and honey mask.",Specialty Pedicure,Pedicure,Nails,,59,SF Nail Bar,"Tues-Fri 11am-7:30pm, Sat-Sun 10am-7pm",FALSE
Milk & Honey Scrub Pedicure,w/ Sweet Almond & Hibiscus Hot Foot Bath Pedicure,Specialty Pedicure,Pedicure,Nails,,55,Silk Day Spa,"Mon-Fri 9:30am-7:30pm, Sat 9am-7pm, Sun 10am-6pm",FALSE
Deluxe Spa Pedicure,"Pamper yourself to this extraordinary service. Saturate your feet in a warm bath with deep sea salt (lavender or peppermint) blend with citrus. Complete toe nail and cuticle trimming, filing, followed by a gentle exfoliating scrub. Callus treament for dry cracking heels is a must. Extensive reflex massage with warm special lotion included. Then our special marine masque will be applied on the feet, wrapped in warm towels to relax your muscles. Paraffin dip ensures to leave your feet feeling smoother. ",Specialty Pedicure,Pedicure,Nails,,35,Simply Unique Nails,"Mon-Fri 10am-8pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Deluxe Pedi,"Epsom salt, lemon and essential oil water soak. Cucumber sugar scrub infused with vitamin oils. Premium hot stone massage with shea butter lotion. Hot towel wrap. Choice of paraffin wax or keratin gloves/booties",Specialty Pedicure,Pedicure,Nails,,50,Soubella Nails Spa,Tues-Sun 10am-7:30pm,FALSE
Pedicure Plus,,Specialty Pedicure,Pedicure,Nails,,40,Sweeties Salon,"Wed-Sat 10:30am-7:30pm, Sun 10:30am-7pm, Mon 10:30am-7:30pm",FALSE
Pedicure with Paraffin wax,,Specialty Pedicure,Pedicure,Nails,,45,Sweeties Salon,"Wed-Sat 10:30am-7:30pm, Sun 10:30am-7pm, Mon 10:30am-7:30pm",FALSE
Paraffin Up Special Pedicure,,Specialty Pedicure,Pedicure,Nails,,50,The  Nail Room,"Mon-Fri 10:30am-7pm, Sat-Sun 10am-7pm",FALSE
Milky Up Special Pedicure,,Specialty Pedicure,Pedicure,Nails,,50,The  Nail Room,"Mon-Fri 10:30am-7pm, Sat-Sun 10am-7pm",FALSE
Freshen Up Special Pedicure,,Specialty Pedicure,Pedicure,Nails,,50,The  Nail Room,"Mon-Fri 10:30am-7pm, Sat-Sun 10am-7pm",FALSE
